"Aircraft Model","Category","Size","Engine Type & Number","Tail Configuration","Wing Configuration","Distinctive Visual Features","Typical Operators","First Flight / Entry into Service","Nicknames / Misidentifications"
"Beechcraft Bonanza","Piston (single-engine high-performance GA aircraft)","Small (4–6 seat retractable-gear aircraft)","One piston engine in the nose (6-cylinder ~285 hp in modern models) with a 3-blade prop common on newer Bonanzas","V-tail on early models (distinctive V-shaped tail with two slanted ruddervators); conventional tail on later models (straight tail from 1980s onward)","Low-wing monoplane (retractable landing gear that folds into the belly/wing)","The early Bonanza (Model 35) is famous for its butterfly V-tail – two tail surfaces in a “V” instead of separate rudder and stabilizer. This makes it instantly recognizable on the ramp or in flight (a “forked tail”). Later Bonanzas (Model 33/36) have a conventional tail but can be spotted by their shorter wingspan and six-seat length (for the 36). All Bonanzas have a smooth, somewhat narrow nose and typically club-style side windows. Often painted in polished or business-like schemes. Retractable gear (wheels up in flight) distinguishes it from fixed-gear planes","Often owned by private pilots as a step-up aircraft or by businesses for personal transport. It’s been called the “doctor/lawyer’s airplane” for its popularity with professionals. Still common at general aviation airports","First flew 1945, in production (various models) since 1947 – one of the longest-produced aircraft lines","Known as the “Bonanza.” Early V-tail versions earned the sobriquet “Doctor Killer” (a morbid nickname due to challenging handling for inexperienced pilots). The V-tail model is unique – hard to confuse with anything except maybe a Beechcraft Debonair (which is basically a Bonanza with a conventional tail)"
"Mooney M20","Piston (single-engine high-performance GA aircraft)","Small (4-seat, compact high-speed cruiser)","One piston engine in nose (4-cylinder ~200–310 hp depending on model), 2-blade or 3-blade prop","Conventional tail, but notable for its forward-swept vertical fin and all-moving tailplane (the entire horizontal stabilizer pivots as a trimmer)","Low-wing monoplane (retractable landing gear on most models)","The Mooney has a distinctive vertical leading edge on the tail (the tail fin looks almost vertical or forward-leaning) and a very slender fuselage. The cabin roofline tapers sharply toward the tail. Often you’ll notice its unique tail with perhaps a rudder that doesn’t extend to the fuselage bottom (due to the all-flying tailplane above). Wings are relatively straight with little dihedral. Mooneys often have signature paint with swooping stripes. In flight, the Mooney is fast and sleek for a piston single – usually leaving a smaller visible trail due to shorter wings","Private owners who want speed and efficiency (it’s a favored cross-country aircraft for enthusiasts). You’ll see Mooneys at many GA airports, often owned by experienced pilot-owners","First flew 1955 (M20), various evolutions (M20J, M20R, etc.) produced up to ~2019","Sometimes just referred to by model (e.g., “Mooney 201”). The unique tail often gives it away; not many other GA planes have that. Possibly confused with Piper Arrow at a quick glance (both low-wing 4-seaters), but Mooney’s tail and one-piece windshield are differentiators"
"Cirrus SR22 (and SR20)","Piston (single-engine modern general aviation aircraft)","Small (4-seat premium GA aircraft)","One piston engine in nose (6-cylinder ~310 hp for SR22) turning a 3- or 4-blade prop","Conventional tail (low-set horizontal stabilizer)","Low-wing monoplane (composite airframe, fixed landing gear)","Modern, sleek design – composite smooth skin with no rivets showing. The Cirrus has a large rounded cabin with a big windshield and doors on both sides (unlike older planes). Often sports a parachute rocket cover on the fuselage spine (Ballistic Recovery System – CAPS) – not visible from far away, but unique to Cirrus. The wingtips are turned down slightly (on SR22-G3 and later, they have small cuffed winglets). No prop spinner gap (spinner fits tightly). It sits nose-high on the ground due to trailing-link main gear. Usually painted in slick modern paint schemes.","Very popular with owner-pilots for personal/business travel; also used by some flight schools for advanced training. One of the best-selling GA aircraft of the 2000s, so common at many airports","SR20 first flew 1995 (certified 1998), SR22 introduced 2001","Just “Cirrus.” Because of its parachute, some call it “the plane with a parachute.” Unlikely to be mis-ID’d as older aircraft due to its distinctive modern look – maybe could be mistaken for a Lancair Columbia (Cessna TTx) at a glance, but Cirrus has a rounded nose and unique side window shape"
"Diamond DA40 Diamond Star","Piston (single-engine modern GA/trainer aircraft)","Small (4-seat composite light aircraft)","One piston engine in nose (IO-360 4-cylinder ~180 hp or Austro diesel in DA40 NG) with a 3-blade prop typically","Conventional tail (Tapered straight tailfin with low stabilizer)","Low-wing monoplane (composite wing, fixed gear on DA40)","Very sleek, glider-like lines – long slender wings with a slight upward bend (no wing struts). The canopy is large and bubble-like, often tinted, opening upward (like a fighter canopy). The fuselage tapers to a narrow tail with a small cross-section. The Diamond’s trailing link main gear legs often have fairings. It has a prominent Tundra-style exhaust on the bottom (for diesel versions). The overall look is futuristic compared to metal Cessnas/Pipers. In flight, DA40s have distinctive position lights at wingtips and often fly with noticeable wing flex due to composite wings","Flight training academies (for instrument and commercial training), private owners who want a modern four-seater with good efficiency. Common at university aviation programs and some flying clubs","First flew 1997, in service ~2000","Simply “DA40” or “Diamond Star.” Could be mistaken for the smaller Diamond DA20 (which is 2-seat) or even a motor-glider at distance, but its four-seat size and wingtip strobes usually give it away"
"Piper PA-44 Seminole","Piston (twin-engine light trainer aircraft)","Small (4-seat light twin, used primarily for multi-engine training)","Two piston engines, one on each wing (counter-rotating 180 hp engines)","T-tail (high-mounted horizontal stabilizer)","Low-wing monoplane (non-swept, semi-tapered wings; retractable landing gear)","Looks much like a Piper Archer/Cherokee but with two engines. The Seminole’s most notable visual difference is its T-shaped tail (unlike most small twins). It also has counter-rotating propellers, so no critical engine – but that’s not visible, just a trivia. From the side, you’ll see two exhausts (one per engine) and the wing nacelles extending past the wing’s trailing edge slightly. The nose is pointed with the typical Piper look. It has dual doors (one on co-pilot side front, one smaller rear door on right). On the ground, its T-tail sits taller than, say, a Beech Baron’s tail","Flight schools and aviation colleges for multi-engine training (it’s popular because of its docile handling). Not often used as a personal or charter plane (small cabin and limited payload)","First flew 1976, in service by 1979","“Seminole.” Visually could be confused with the Beechcraft Duchess, which is also a light twin with a T-tail (and indeed the Seminole was designed to compete and is noted as looking similar to the Duchess). The Seminole’s Piper lineage (Cherokee fuselage) means aside from the tail and twin engines, it resembles the single-engine Piper Arrow IV (which also had a T-tail)"
"Beechcraft Baron (BE-55/58)","Piston (twin-engine light aircraft)","Small (typically 6 seats, including pilot; general aviation light twin)","Two piston engines, one on each wing (generally 6-cyl Continental engines ~260–300 hp each) with 3-blade props on modern examples","Conventional tail (low-mounted horizontal stabilizer on fuselage)","Low-wing monoplane (retractable landing gear)","A classic light twin silhouette – low wing, two props, and a conventional tail. The Baron’s nose is relatively long and pointed; older Baron 55s have a shorter nose, Baron 58 extended nose. The cabin has a distinctive “double rear window” arrangement (Baron 58 has two side windows aft of the doors). Often seen with tip tanks on older models (though that’s the earlier Travel Air/Baron 55 option). On the ground, it sits low, with engines canted slightly nose-up on ground stance. In the air, the Baron is fast for a piston twin and leaves a hearty twin-engine sound. Unlike the Seminole, it does not have a T-tail – its tail is in the usual place, making it look more traditional","Private owners who need a light twin for business or family; charter companies (air taxi) for short hops; also used by military as liaison (few), and by small cargo (very limited, since it’s small). Many Barons are in hands of experienced owner-pilots","First flew 1960, in production since 1961 (with continuous improvements)","Simply “Baron.” Could be confused with the similar Piper PA-34 Seneca (another 6-seat twin) – differences: the Baron has a conventional tail vs. Seneca’s T-tail; also Barons have a more “business-like” narrow profile and sometimes tip tanks"
"Honda HA-420 HondaJet","Jet (very light business jet)","Small (4–6 seat private jet, very light category)","Two turbofan jet engines, uniquely mounted on pylons above the wing (one atop each wing)","T-tail (horizontal stabilizer on top of vertical fin)","Low-wing monoplane (smooth natural laminar flow wing)","The over-the-wing engine mounts are the hallmark – engines sit on top of each wing rather than at the rear fuselage, giving a one-of-a-kind look. The HondaJet also has a very shark-like nose (pointed and down-curved) and a frameless windshield design. It’s a very small jet – shorter than a regional turboprop – and often painted in striking two-tone schemes. The T-tail and engine placement make it unmistakable; on ground, engines atop wings draw attention.","Predominantly corporate and private owners. Also used by some jet charter companies for short executive hops. Because of its efficiency, it’s popular among owner-pilots moving up to jets","First flew 2014, entered service 2015","Just “HondaJet.” Really stands alone due to engine placement – unlikely to confuse with any other aircraft currently. Perhaps a very casual observer might think “small private jet” but the OTWEM (Over-The-Wing Engine Mount) design is unique"
"Cirrus Vision SF50 Jet","Jet (very light personal jet)","Small (7-seat single-engine jet – essentially the smallest business jet)","One turbofan engine mounted on top of the rear fuselage (semi-embedded in the upper fuselage)","V-tail (twin tail fins in a V arrangement, acting as ruddervators)","Low-wing monoplane (straight uncomplicated wing; fixed gear on early models, retractable on production version)","It’s the only civilian jet with one engine and a V-tail configuration in production. Very compact, almost like a jet-powered minivan. The engine’s intake is atop the fuselage, just ahead of the V-tail. The cabin has large windows and a panoramic windshield, resembling the Cirrus prop planes’ style. Overall, it has a bulbous nose, short swept wings with small winglets, and that striking V-tail. Often painted in modern schemes and usually has a whole-aircraft parachute like its SR22 cousin.","Largely owner-flown by private individuals (the Vision Jet is marketed to pilots stepping up from SR22s). Also adopted by a few air taxi services (e.g., JetStream, Verijet in the U.S.) for short on-demand charter flights","First flew 2014, entered service late 2016","Called the “Vision Jet.” Given its unique specs, not much else to confuse it with – perhaps someone might confuse it with a military drone or experimental plane at first glance due to the engine-on-top and V-tail"
"Learjet (Learjet 35/45 series)","Jet (light business jet)","Small (6–8 passenger light jet)","Two turbofan engines mounted at the rear fuselage (one on each side of aft fuselage)","T-tail (high-mounted horizontal stabilizer)","Low-wing monoplane (swept wing). Older Learjets (20/30 series) have visible wingtip fuel tanks (bullet-shaped tip tanks) – a key identifier","Sleek, small fuselage and pointy nose – Learjets look fast even on the ground. On Lear 35/36, the eye-catching feature is the wingtip fuel tanks (long cylindrical pods at each wingtip) which give it a classic Learjet look. Newer Learjet 45/75 have winglets instead of tip tanks, but retain the T-tail and general proportions. Lears often sit low to the ground, with a squat stance. The windows are small and typically arranged in a straight line. In flight, they are quick and climb high, often leaving only contrails to spot.","Corporate flight departments, private owners, air ambulance services, and charter operators. The Learjet was the original “bizjet,” used worldwide for executives. Many older Lear 35s also serve in military liaison or medical transport roles","Lear 23 first flew 1963; Lear 35 in 1973 (in service 1970s); Lear 45 first flight 1995, etc. (Learjet production ended in 2021)","Often just “Lear.” The classic Learjet (with tip tanks) is hard to mix up – maybe could be thought to be a fighter from certain angles because of tip tanks looking like missiles, but its overall bizjet form is clear. Newer Lears (winglets) might be mistaken for other light jets like Citation or Gulfstream G100, but the T-tail and straight-lined windows help identify a Lear"
"Gulfstream G-IV/G-V/G650 (Gulfstream Large Cabin Jets)","Jet (large long-range business jet)","Medium/Large (by biz jet standards – 14 to 19 passengers, twin-aisle feel in cabin)","Two turbofan engines mounted at rear fuselage (one either side of tail, with large oval exhausts)","Conventional tail (mid-to-low mounted horizontal stabilizer on the vertical fin)","Low-wing monoplane (swept wings with winglets – most Gulfstreams have noticeable winglets)","Gulfstreams are characterized by their oval panoramic windows – larger and fewer than airliners (Gulfstream windows are big ovals, typically 6 or 7 per side on G-IV/V). The nose is pointed but with a smooth slope and often a dark anti-glare patch. They have a distinct graceful stance, sitting relatively high on their gear. Winglets on models like G-IV, G-V are angular; the G650 has raked wingtips (no traditional winglet). The tail has a curved dorsal fin fairing into the fuselage. Often painted white or silver with minimal striping, exuding VIP transport. At airports, a Gulfstream’s tall T-shape profile (though technically not a T-tail, it’s lower than a Lear’s) and those oval windows catch the eye","Wealthy corporations, individuals (billionaires), and government/VIP (US military C-37 designation for Gulfstream V). Common at executive terminals of major airports","Gulfstream IV first flew 1985; V in 1995; G650 in 2009 (with service entry 2012)","Simply “Gulfstream.” Rarely confused with smaller bizjets because of its size and windows. Possibly one could confuse a Gulfstream with the smaller Bombardier Global Express at a distance – but Globals have round windows (not oval) and usually a T-tail, whereas Gulfstream’s tailplane is a bit lower and its oval windows are unique"
"Bombardier Global Express/Global 6000","Jet (large ultra-long-range business jet)","Large (comparable to a small airliner in length – seats ~12–16 in luxury)","Two turbofan engines mounted at rear fuselage (one each side of tail)","T-tail (high-mounted horizontal stabilizer, typical of Bombardier bizjets)","Low-wing monoplane (swept high-speed wing with raked winglets)","The Global series has a T-tail and relatively tall landing gear (giving it a nose-high stance on ground). Windows are more square-ish (oval-cornered rectangles) and evenly spaced – more and smaller than Gulfstream windows. It often has splayed winglets (Global 6000 has outward canted winglets). The nose is pointed but a bit “sharper” in profile than a Gulfstream. The Global is big – similar length to a regional jet – and exudes range with its large wings. Often seen in either all-white exec livery or sometimes national liveries for VIP transport.","Top corporations, fractional ownership fleets (NetJets operates Globals), and some government VIP fleets. For example, USAF uses a few as E-11A for communications relay","First flew 1996 (Global Express), in service by 1999; updated Global 6000 in service 2012","“Global.” Could be mixed up with the smaller Bombardier Challenger or larger Gulfstream if not careful – the Global’s key giveaway is the T-tail + many small windows + winglets (Challengers are smaller, Gulfstreams have oval windows)"
"Dassault Falcon 7X/8X","Jet (long-range business jet, tri-engine)","Large (roughly 14–16 passengers)","Three turbofan engines – two on sides of rear fuselage, plus one in the tail (S-duct intake at tail root)","Conventional tail (mid-low mounted horizontal stabilizer on fuselage) – NOT a T-tail, because center engine’s inlet is at fin base","Low-wing monoplane (highly swept wing with winglets on 8X, 7X initially had none but later retrofitted by some)","Three-engine layout – only a few bizjets have this. You’ll see an engine exhaust in the center of the tail in addition to the two side engines. The Falcon 7X/8X has a very sleek nose and front fuselage, with unique curved triangular windows for cockpit (a bit different shape than other jets). It’s a bit smaller than a Gulfstream G650, but the tri-jet design and typically French register or markings might stand out. The tail has two low-set horizontal fins (one each side of tail cone – looking almost like a small twin tail, but it’s actually the horizontal stabilizer with a gap for the center engine exhaust above). Often painted white/gray with dark cockpit mask. It can cruise high and fast; on ground the triple exhausts and lower tailplane are clear","High-end corporate and VIP operators (e.g., used by Dassault Aviation for French officials, some private owners who prefer tri-jet safety and short-field performance). Not as numerous as Gulfstreams or Globals but seen at major business aviation hubs","Falcon 7X first flew 2005, in service 2007; 8X (stretched) in service 2016","Sometimes called “Falcon TriJet.” Only other similar tri-engine bizjet was the older Falcon 900 (smaller) – the 7X/8X is larger and more modern with winglets. Unlikely to be mistaken for anything except maybe a Boeing 727 from a far distance (727 is much larger and a commercial airliner, though occasionally used privately)"
"Robinson R44 Raven","Helicopter (light piston-engine helicopter)","Small (4-seat light helicopter)","One piston engine (Lycoming flat-6) powering a single main rotor (two-blade), with a single tail rotor","Conventional rotor tail (two-blade tail rotor on the end of a tail boom)","N/A – rotary wing aircraft (no fixed wings)","A simple bubble canopy and twin-blade main rotor. The R44 has a sleek narrow body with two doors per side (total four seats). Skid landing gear (no wheels). Often painted in bright colors. Compared to larger turbine helicopters, the R44 is quieter and smaller – you’ll notice its rotor blades coning noticeably when hovering. The two-blade rotor and piston engine give it a distinct “whomp-whomp” sound and slightly less crisp rotor noise than turbine helis. The tail boom is slender and supports a small two-blade tail rotor on the right side.","Tour operators (e.g., sightseeing flights), news media (in fair weather), flight schools (for helicopter training), and private owners. It’s one of the most popular civil helicopters globally","First flew 1990, in service 1993 (R44 Astro), Raven II introduced 2002","Often just “Robinson R44.” Can be mistaken for its smaller sibling the R22 at a distance, but the R44 has four seats vs. R22’s two (R44 is slightly larger with an extra set of side windows). Unlike most other four-seat helis which are turbine-powered, the R44’s piston engine and two-blade rotor set it apart (most turbine helis have 3+ blades)"
"Robinson R22","Helicopter (ultralight piston-engine helicopter)","Very Small (2-seat trainer helicopter)","One piston engine (Lycoming 4-cyl) driving a single two-blade main rotor, plus tail rotor","Conventional tail rotor on a long tail boom (very similar layout to R44)","N/A (rotorcraft)","Tiny two-seat bubble with a teetering two-blade rotor. The R22’s overall length is short; its landing skids are very close together, giving it a somewhat “spindly” appearance on the ground. It has open lattice tail boom supports and a small fragile look. Often painted yellow, white, or red in training fleets. In flight it’s agile, but being so light, it bobs around in wind. Sound is a high-pitched whine combined with the two-blade flap noise. If you see a really small helicopter that almost looks like a toy, it’s likely an R22","Helicopter flight schools (primary trainer), individual enthusiast owners (for personal hops). Common at airports with helo training programs; also sometimes used by cattle mustering in remote areas due to low cost","First flew 1975, in service by 1979","Simply “R22.” Not many other helicopters are that small – perhaps the Schweizer 300C (Hughes 300) is another small trainer, but that one has a three-blade rotor and a different pod shape. The R22’s shark-fin shaped tail and tiny size are giveaways"
"Bell 206 JetRanger","Helicopter (light turboshaft utility helicopter)","Small (4–5 seat light helicopter)","One turboshaft engine (Allison 250) driving a two-blade main rotor and two-blade tail rotor","Conventional tail rotor (tail boom with small vertical fin and two-blade tail rotor on the right side)","N/A (rotorcraft)","The JetRanger has a classic helicopter look: two-blade teetering rotor, simple tube skids, and a pointed nose. Its engine/exhaust cowling on top bulges slightly and a single exhaust pipe at rear of engine. The 206’s nose is pointed downward giving a “beak”-like profile. Many have a utility paint scheme (e.g., news helicopters often are Bell 206s or its LongRanger variant). In flight, the two rotor blades make a distinctive “wop-wop” sound, especially when banking. It’s not very large – roughly 39 ft rotor diameter – and on ground sits relatively low. If equipped for news, might have antennae or camera mount on nose. The stretched 206L LongRanger has an extra set of rear side windows (total 3 per side).","TV news and traffic helicopters (an iconic role), police departments (though many now use Airbus H125, but 206 was common), sightseeing tour companies, and many private utility operators. It’s a workhorse for light utility tasks and was also used militarily as the OH-58 Kiowa","First flew 1966, in service 1967 (and many still flying)","“JetRanger.” Could be confused with the Bell 407, which is basically an updated 206 with a four-blade rotor – but the 407 has a different rotor sound and a slightly longer fuselage with four blades. The simple two-blade rotor and pointed nose usually confirm a 206"
"Airbus Helicopters H125 (AS350 Écureuil “A-Star”)","Helicopter (light single-engine utility helicopter)","Small (5–6 seat light utility helicopter)","One turboshaft engine (Ariel 2D in H125) powering a three-blade main rotor (on AS350/H125) and a two-blade tail rotor","Conventional tail rotor (mounted on the starboard side of tail boom)","N/A (rotary wing)","The AS350 (now H125) has a three-bladed rotor system (gives a smoother sound than two-bladers like Bell 206). It features a prominent bubbled cabin with wide windows (great visibility – favored for tours). Landing gear are simple skids. The engine intake often has a distinctive grill on top of cabin, and exhaust out the top right. The profile of the Écureuil is slightly sloped nose but more rounded than a JetRanger. Often painted in utility liveries or law enforcement colors. It’s often seen carrying sling loads or with a cine camera for aerial filming. In flight, it’s stable and relatively quiet for a helicopter – a steady chopping hum","Air tour companies (e.g., Grand Canyon tours), police and law enforcement agencies (many state police use H125 for patrol), utility companies (powerline inspection, firefighting with bucket), and news stations (less now, but some use AStars). Also widely used globally in air ambulance and SAR (single-engine operations in mountains)","First flew 1974 (AS350), in service 1970s; continually upgraded (H125 latest variant)","Often called “A-Star” in the U.S. The AS350 can be mistaken for its twin-engine sibling AS355 (looks nearly identical but twin-engine version has different engine housing). Compared to a Bell 206, the H125 has 3 rotor blades and larger windows. A casual observer might confuse it with a Bell 407 (which has 4 blades), but the A-Star’s rotor hub and sound (3-blade) differ"
"Airbus Helicopters H145 (EC145)","Helicopter (medium twin-engine utility helicopter)","Medium (4–8 passengers or medical evac, ~3.7 ton class)","Two turboshaft engines (Safran Arriel) powering a four-blade (older EC145) or five-blade (new H145) main rotor; Fenestron shrouded tail rotor on newer H145 models","Conventional tail boom, but on latest variants the tail rotor is enclosed in a Fenestron shroud (circular fan-in-fin)","N/A (helicopter)","The EC145 (now H145) has a large, squared-off cabin with sliding doors – often seen with EMS markings. The earlier EC145 has a standard 4-blade rotor and an open tail rotor, whereas the latest H145 D3 has 5 main rotor blades and a fan-in-fin tail (fenestron) which is very distinctive. It has skids or sometimes landing gear struts, and a prominent flat nose (especially when radar nose cone is installed). The cabin area is tall and capacious (for medevac). Often painted with high-visibility colors and a medical cross or police insignia. In flight, the fenestron versions are quieter (less tail rotor noise) – a smoother hum. The overall size is larger than a Bell 407 but smaller than a Black Hawk","Air ambulance services (one of the most common medevac helicopters, e.g., hospital flight programs), law enforcement (e.g., LA County Sheriff uses one), and some military utility (LUH-72 Lakota is a military EC145). Also corporate VIP transport in some cases","EC145 first flew 1999 (developed from BK117); H145 updated versions in service 2014 onward","Often just “Airbus 145” or by legacy name “EC145.” The new 5-blade fenestron H145 could be mistaken for the slightly smaller H135 (which also has a fenestron but 4-blade rotor and smaller size). The H145’s larger cabin and (if visible) 5-blade rotor set it apart"
"Boeing CH-47 Chinook","Helicopter (heavy-lift tandem-rotor military helicopter)","Very Large (33,000+ lb class; can carry 30+ troops or tons of cargo)","Two turboshaft engines (Honeywell T55 on most) driving two large counter-rotating main rotors (no tail rotor)","N/A – tandem rotor design (front and rear main rotors); has no tail rotor, but features a broad rear fuselage with loading ramp and twin small vertical stabilizers at rear","N/A (rotorcraft)","Twin rotors, one on the nose and one on the tail, make the silhouette unmistakable. The Chinook has a bus-like fuselage: long, cylindrical and flat-bottomed, with a large rear loading ramp that can open in flight. It has wheels (3 pairs of landing gear wheels). In the air it often flies relatively fast and nose-low. The sound is a deep thumping from the intermeshing rotors – very loud and low-frequency. Painted usually in military olive drab or tan. The presence of two large rotors (spaced far apart) and absence of a tail rotor is unique among common helicopters. It’s also quite large – much larger than any civilian helicopter routinely seen","U.S. Army and National Guard (common over military training areas or during disaster relief), also some civilian heavy-lift companies (ex-military Chinooks used for firefighting water drops and logging in the US). If you see one, it’s likely military on exercise or transport duty.","First flew 1961, entered US Army service 1962 (Chinook has been upgraded through CH-47F today)","Nicknamed “Chinook.” There’s virtually nothing else like it – one might vaguely compare it to the smaller CH-46 Sea Knight (no longer in US use; similar tandem rotor but smaller), but those aren’t flying in the US now. A casual observer might just think “military helicopter,” but the dual rotors will catch anyone’s eye"
"Van’s RV Series (Homebuilt Sport Aircraft)","Piston (single-engine homebuilt sport airplanes)","Small (2-seat in most models, 4-seat in RV-10; lightweight kit planes)","One piston engine in the nose (typically 4-cylinder Lycoming, 115–210 hp depending on model) with a 2-blade (sometimes 3-blade) prop","Conventional tail on most (vertical fin with low-set stabilizer). Some RVs are built as taildraggers (two main wheels + tail wheel), others in tricycle gear configuration – gear configuration can vary by builder choice","Low-wing monoplanes (cantilever aluminum wings). All RVs are low-wing, with various spans (generally short span for sporty handling)","RVs are sleek and compact, often with a bubble canopy (especially the tandem-seat RV-4/8 have fighter-like sliding canopies). The side-by-side models (RV-6/7/9/14) have a slightly raised turtledeck behind a big clear canopy. They often sport vivid custom paint jobs. The aircraft are small – about the size of a 2-seat Cessna but low-wing. On the ground, you might notice many have *removeable wheel fairings and often the attention to finish (since they’re homebuilt) is high. In flight, RVs are fast and agile; they often fly in formation at airshows. There are over 10,000 RVs flying worldwide, so they are the most common kit planes by far. Spotting details: the RV tail shape is distinctive (vertical fin with a slight sweep and generous rudder). If taildragger, they sit nose-high like a little warbird; if tricycle, stance is level.","Sport pilots and enthusiast owners – used for recreational flying, aerobatics (gentleman’s aerobatics), cross-country touring. You’ll see them at local fly-ins and weekend $100 hamburger flights. Not used commercially (not certified for hire) except perhaps in airshows","First RV-3 flew in 1971; subsequent models introduced through the decades (RV-4 in 1979, RV-6 in 1985, RV-7/8 early 2000s, etc.) – all amateur-built","Often just called “RV” plus model number (e.g., “RV-7”). Because paint schemes and gear configurations vary, a Van’s RV can sometimes be mistaken for other small kit planes (like a Harmon Rocket or other homebuilt). But generally the sheer number of RVs means if you see a spiffy little low-wing doing rolls on a Saturday, it’s probably an RV. The RV’s mix of sporty looks, bubble canopy, and often polished metal or custom paint sets it apart from factory Cessnas and Pipers"
